"","Categoria","Comunidad","Educacion","FechaCreacion","TipoJornada","Provincia","SalarioMax","SalarioMin","SubCategoria"
"10813","INGENIERÍA/CALIDAD/CIENCIAS","NAVARRA","Postgrado Universitario",2018-10-17,"INDIFERENTE","NAVARRA",22000,12000,"PREVENCIÓN RIESGOS LABORALES"
"10818","CUIDADOS/ASISTENCIA EN EL HOGAR","GALICIA","Sin estudios",2018-10-16,"COMPLETA","PONTEVEDRA",900,800,"LIMPIEZA"
"10826","METAL/MECÁNICA","CATALUÑA","FP II, Ciclo de Grado Superior",2018-10-17,"COMPLETA","BARCELONA",23000,23000,"MECÁNICA/MANTENIMIENTO"
"10827","VIGILANCIA/SERVICIOS","REGIÓN DE MURCIA","Bachillerato",2018-10-17,"COMPLETA","MURCIA",14600,14600,"VIGILANCIA/GUARDAS JURADOS"
"10852","ADMINISTRACIÓN","ISLAS CANARIAS","FP II, Ciclo de Grado Superior",2018-10-17,"COMPLETA","SANTA CRUZ DE TENERIFE",1200,1100,"CONTABILIDAD/FINANZAS"
"10860","ELECTRICIDAD/ELECTRÓNICA/ENERGÍA","MADRID","FP II, Ciclo de Grado Superior",2018-10-17,"COMPLETA","MADRID",17500,17500,"ELECTRÓNICA"
"10865","COMERCIAL/VENTAS","ANDALUCÍA","FP I, Ciclo de Grado Medio",2018-10-17,"COMPLETA","JAÉN",20000,14000,"AGENTES COMERCIALES/REPRESENTANTES"
"10873","ELECTRICIDAD/ELECTRÓNICA/ENERGÍA","MADRID","FP II, Ciclo de Grado Superior",2018-10-17,"COMPLETA","MADRID",17500,17500,"ELECTRÓNICA"
"10877","CONSTRUCCIÓN","CATALUÑA","Unknown",2018-10-17,"COMPLETA","BARCELONA",21000,18000,"PEONES"
"10884","AGRICULTURA/JARDINERÍA/ALIMENTACIÓN","PAÍS VASCO","ESO, EGB, Graduado Escolar",2018-10-17,"COMPLETA","VIZCAYA",13330,13330,"PANADERÍA/REPOSTERÍA"
"10896","HOSTELERÍA/TURISMO","MADRID","Unknown",2018-10-17,"PARCIAL","MADRID",600,300,"COCINEROS"
"10909","INGENIERÍA/CALIDAD/CIENCIAS","MADRID","FP I, Ciclo de Grado Medio",2018-10-17,"INDIFERENTE","MADRID",400,200,"INGENIERÍAS"
"10917","COMERCIAL/VENTAS","CATALUÑA","Unknown",2018-10-17,"COMPLETA","BARCELONA",3200,1200,"VENDEDORES"
"10919","AGRICULTURA/JARDINERÍA/ALIMENTACIÓN","CATALUÑA","ESO, EGB, Graduado Escolar",2018-10-17,"COMPLETA","BARCELONA",1000,800,"CARNICERÍA/CHARCUTERIA"
"10922","ELECTRICIDAD/ELECTRÓNICA/ENERGÍA","MADRID","FP II, Ciclo de Grado Superior",2018-10-17,"COMPLETA","MADRID",17500,17500,"ELECTRICIDAD"
"10923","HOSTELERÍA/TURISMO","CASTILLA Y LEÓN","ESO, EGB, Graduado Escolar",2018-10-17,"COMPLETA","SEGOVIA",970,970,"CAMAREROS"
"10928","APRENDICES/PRIMER EMPLEO","CASTILLA Y LEÓN","Licenciado o Ingeniero Superior",2018-10-17,"COMPLETA","VALLADOLID",18000,6000,"APRENDICES"
"10929","COMERCIAL/VENTAS","GALICIA","FP I, Ciclo de Grado Medio",2018-10-17,"COMPLETA","CORUÑA (A)",1001,1000,"AGENTES COMERCIALES/REPRESENTANTES"
"11037","HOSTELERÍA/TURISMO","CATALUÑA","Unknown",2018-10-19,"COMPLETA","LLEIDA",1200,1200,"CAMAREROS"
"11038","HOSTELERÍA/TURISMO","CATALUÑA","Unknown",2018-10-19,"COMPLETA","LLEIDA",1200,1200,"AYUDANTES DE COCINA/COMIDA RÁPIDA"
"11114","CUIDADOS/ASISTENCIA EN EL HOGAR","CATALUÑA","Unknown",2018-10-19,"PARCIAL","LLEIDA",400,400,"LIMPIEZA"
"11201","METAL/MECÁNICA","CASTILLA Y LEÓN","Otras Formaciones",2018-10-17,"COMPLETA","BURGOS",2200,1800,"SOLDADURA/CALDERERÍA/CHAPA"
"11217","COMERCIAL/VENTAS","MADRID","Bachillerato",2018-10-17,"COMPLETA","MADRID",14000,12000,"COMERCIO EXTERIOR"
"11222","CONSTRUCCIÓN","ISLAS CANARIAS","Unknown",2018-10-17,"COMPLETA","PALMAS (LAS)",1400,1400,"ENCOFRADO/FERRALLA/ESTRUCTURAS"
"11224","SALUD/DEPORTE","ISLAS CANARIAS","FP I, Ciclo de Grado Medio",2018-10-17,"COMPLETA","SANTA CRUZ DE TENERIFE",20000,16000,"MEDICINA"
"11225","INFORMÁTICA/TELECOMUNICACIONES","COMUNIDAD VALENCIANA","FP II, Ciclo de Grado Superior",2018-09-25,"INDIFERENTE","VALENCIA",1000,0,"ANALISTAS/PROGRAMADORES"
"11226","ADMINISTRACIÓN","MADRID","Diplomado o Ingeniero Técnico",2018-10-16,"COMPLETA","Unknown",18000,14000,"CONTABILIDAD/FINANZAS"
"11227","DEPENDIENTES/INFORMACIÓN","GALICIA","ESO, EGB, Graduado Escolar",2018-06-27,"COMPLETA","CORUÑA (A)",1100,800,"DEPENDIENTES"
"11234","PELUQUERÍA/ESTÉTICA","PRINCIPADO DE ASTURIAS","Otras Formaciones",2018-10-14,"PARCIAL","ASTURIAS",900,500,"ESTÉTICA"
"11235","EDUCACIÓN/SERVICIOS SOCIALES","MADRID","FP II, Ciclo de Grado Superior",2018-10-16,"COMPLETA","MADRID",800,650,"EDUCACIÓN INFANTIL"
"11236","COMERCIAL/VENTAS","ANDALUCÍA","Bachillerato",2018-10-16,"INDIFERENTE","MÁLAGA",3000,1200,"VENDEDORES"
"11241","AGRICULTURA/JARDINERÍA/ALIMENTACIÓN","GALICIA","ESO, EGB, Graduado Escolar",2018-10-16,"INDIFERENTE","PONTEVEDRA",15340,14926,"PANADERÍA/REPOSTERÍA"
"11242","CONSTRUCCIÓN","CATALUÑA","FP I, Ciclo de Grado Medio",2018-10-16,"COMPLETA","BARCELONA",24000,18000,"CARPINTERÍA"
"11243","ELECTRICIDAD/ELECTRÓNICA/ENERGÍA","ILLES BALEARS","FP I, Ciclo de Grado Medio",2018-09-19,"COMPLETA","BALEARS (ILLES)",1500,1300,"ELECTRICIDAD"
"11244","HOSTELERÍA/TURISMO","ISLAS CANARIAS","Bachillerato",2018-10-16,"COMPLETA","SANTA CRUZ DE TENERIFE",1450,1200,"CAMAREROS"
"11253","DEPENDIENTES/INFORMACIÓN","ARAGÓN","Unknown",2018-10-16,"COMPLETA","TERUEL",13972,13972,"DEPENDIENTES"
"11272","EDUCACIÓN/SERVICIOS SOCIALES","COMUNIDAD VALENCIANA","Bachillerato",2018-01-29,"PARCIAL","VALENCIA",800,400,"ENSEÑANZA PRIMARIA Y SECUNDARIA"
"11305","ADMINISTRACIÓN","MADRID","FP I, Ciclo de Grado Medio",2018-09-18,"PARCIAL","MADRID",14749,14749,"ADMINISTRATIVOS"
"11310","ADMINISTRACIÓN","COMUNIDAD VALENCIANA","FP I, Ciclo de Grado Medio",2018-10-12,"PARCIAL","ALICANTE",300,200,"ADMINISTRATIVOS"
"11330","INFORMÁTICA/TELECOMUNICACIONES","GALICIA","Unknown",2018-10-16,"COMPLETA","LUGO",1400,1100,"SISTEMAS/SEGURIDAD/REDES"
"11332","COMERCIAL/VENTAS","ANDALUCÍA","Unknown",2018-10-15,"COMPLETA","GRANADA",5000,850,"AGENTES COMERCIALES/REPRESENTANTES"
"11357","CONSTRUCCIÓN","COMUNIDAD VALENCIANA","Sin estudios",2018-10-16,"COMPLETA","VALENCIA",1400,1000,"ALBAÑILERIA/ACABADOS"
"11385","CONDUCTORES/TRANSPORTE","CATALUÑA","Unknown",2018-10-17,"COMPLETA","BARCELONA",1900,1800,"REPARTO DE MERCANCÍAS"
"11391","HOSTELERÍA/TURISMO","MADRID","Unknown",2018-10-16,"COMPLETA","MADRID",900,600,"CAMAREROS"
"11409","INFORMÁTICA/TELECOMUNICACIONES","MADRID","FP I, Ciclo de Grado Medio",2018-10-01,"PARCIAL","MADRID",600,400,"ANALISTAS/PROGRAMADORES"
"11416","CONSTRUCCIÓN","ARAGÓN","FP I, Ciclo de Grado Medio",2018-10-16,"COMPLETA","ZARAGOZA",27000,20000,"GRÚAS/EXCAVADORAS/MAQUINARIA"
"11425","INFORMÁTICA/TELECOMUNICACIONES","ANDALUCÍA","Diplomado o Ingeniero Técnico",2018-10-11,"COMPLETA","HUELVA",20000,16000,"ANALISTAS/PROGRAMADORES"
"11436","ADMINISTRACIÓN","MADRID","FP II, Ciclo de Grado Superior",2018-10-16,"COMPLETA","MADRID",1300,900,"BANCA/SEGUROS"
"11438","ARQUITECTURA/DISEÑO","LA RIOJA","Diplomado o Ingeniero Técnico",2018-10-16,"COMPLETA","RIOJA (LA)",1300,1000,"DISEÑO GRÁFICO/WEB"
"11439","CONSTRUCCIÓN","NAVARRA","FP I, Ciclo de Grado Medio",2018-10-16,"COMPLETA","NAVARRA",25000,20000,"GRÚAS/EXCAVADORAS/MAQUINARIA"
"11440","INGENIERÍA/CALIDAD/CIENCIAS","COMUNIDAD VALENCIANA","FP II, Ciclo de Grado Superior",2018-10-16,"COMPLETA","VALENCIA",16300,16000,"MEDIO AMBIENTE/QUÍMICA/BIOLOGÍA/LABORATO"
"11441","CONDUCTORES/TRANSPORTE","CATALUÑA","ESO, EGB, Graduado Escolar",2018-10-17,"COMPLETA","BARCELONA",1253,940,"REPARTO DE MERCANCÍAS"
"11482","COMERCIAL/VENTAS","ANDALUCÍA","Unknown",2018-10-15,"COMPLETA","GRANADA",5000,850,"AGENTES COMERCIALES/REPRESENTANTES"
"11483","COMERCIAL/VENTAS","ANDALUCÍA","Unknown",2018-10-15,"COMPLETA","GRANADA",5000,850,"AGENTES COMERCIALES/REPRESENTANTES"
"11486","INGENIERÍA/CALIDAD/CIENCIAS","CASTILLA LA MANCHA","Diplomado o Ingeniero Técnico",2018-10-16,"COMPLETA","CUENCA",1200,1000,"OTRAS ACTIVIDADES TÉCNICAS"
"11534","HOSTELERÍA/TURISMO","ANDALUCÍA","Unknown",2018-10-17,"PARCIAL","JAÉN",800,800,"COCINEROS"
"11537","COMERCIAL/VENTAS","ANDALUCÍA","Unknown",2018-10-15,"COMPLETA","GRANADA",5000,850,"AGENTES COMERCIALES/REPRESENTANTES"
"11538","CONSTRUCCIÓN","CASTILLA Y LEÓN","FP II, Ciclo de Grado Superior",2018-10-16,"COMPLETA","LEÓN",20000,20000,"TECNICOS EN CONSTRUCCION"
"11540","ADMINISTRACIÓN","ILLES BALEARS","FP II, Ciclo de Grado Superior",2018-10-05,"PARCIAL","BALEARS (ILLES)",1300,900,"ADMINISTRATIVOS"
"11555","APRENDICES/PRIMER EMPLEO","ANDALUCÍA","Unknown",2018-10-12,"INDIFERENTE","ALMERÍA",700,638,"APRENDICES"
"11571","INFORMÁTICA/TELECOMUNICACIONES","REGIÓN DE MURCIA","FP II, Ciclo de Grado Superior",2018-10-16,"COMPLETA","MURCIA",30000,18000,"ANALISTAS/PROGRAMADORES"
"11572","INGENIERÍA/CALIDAD/CIENCIAS","MADRID","FP II, Ciclo de Grado Superior",2018-10-16,"COMPLETA","MADRID",20000,15000,"OTRAS ACTIVIDADES TÉCNICAS"
"11573","COMERCIAL/VENTAS","MADRID","Bachillerato",2018-10-16,"COMPLETA","MADRID",20000,15000,"AGENTES COMERCIALES/REPRESENTANTES"
"11585","SALUD/DEPORTE","CATALUÑA","Licenciado o Ingeniero Superior",2018-10-17,"COMPLETA","GIRONA",2715,2715,"MEDICINA"
"11595","ADMINISTRACIÓN","CATALUÑA","FP I, Ciclo de Grado Medio",2018-10-17,"COMPLETA","BARCELONA",1400,1400,"ADMINISTRATIVOS"
"11608","COMERCIAL/VENTAS","ANDALUCÍA","Unknown",2018-10-15,"COMPLETA","GRANADA",5000,850,"AGENTES COMERCIALES/REPRESENTANTES"
"11621","CONSTRUCCIÓN","ISLAS CANARIAS","FP I, Ciclo de Grado Medio",2018-10-16,"COMPLETA","PALMAS (LAS)",1300,1000,"FONTANERÍA"
"11625","COMERCIAL/VENTAS","ANDALUCÍA","Unknown",2018-10-15,"COMPLETA","ALMERÍA",5000,850,"AGENTES COMERCIALES/REPRESENTANTES"
"11652","COMUNICACIÓN/CULTURA/ENTRETENIMIENTO","CANTABRIA","Bachillerato",2018-10-15,"COMPLETA","CANTABRIA",900,780,"ARTE/CULTURA/ESPECTÁCULOS"
"11659","INFORMÁTICA/TELECOMUNICACIONES","CATALUÑA","Diplomado o Ingeniero Técnico",2018-10-16,"COMPLETA","TARRAGONA",1500,800,"ANALISTAS/PROGRAMADORES"
"11660","HOSTELERÍA/TURISMO","MADRID","Unknown",2018-10-16,"COMPLETA","MADRID",900,700,"CAMAREROS"
"11672","INFORMÁTICA/TELECOMUNICACIONES","CATALUÑA","FP II, Ciclo de Grado Superior",2018-10-16,"COMPLETA","TARRAGONA",1500,800,"ANALISTAS/PROGRAMADORES"
"11690","CONSTRUCCIÓN","ISLAS CANARIAS","Diplomado o Ingeniero Técnico",2018-10-16,"COMPLETA","SANTA CRUZ DE TENERIFE",1500,1000,"TECNICOS EN CONSTRUCCION"
"11693","CONSTRUCCIÓN","NAVARRA","FP I, Ciclo de Grado Medio",2018-10-16,"COMPLETA","NAVARRA",25000,20000,"GRÚAS/EXCAVADORAS/MAQUINARIA"
"11703","AGRICULTURA/JARDINERÍA/ALIMENTACIÓN","ANDALUCÍA","Diplomado o Ingeniero Técnico",2018-10-16,"INDIFERENTE","CÓRDOBA",1100,800,"FORESTAL/JARDINERÍA"
"11739","DEPENDIENTES/INFORMACIÓN","MADRID","Sin estudios",2018-10-16,"COMPLETA","Unknown",900,850,"CAJEROS SUPERMERCADO"
"11744","CONSTRUCCIÓN","ISLAS CANARIAS","Unknown",2018-10-10,"COMPLETA","SANTA CRUZ DE TENERIFE",1500,1000,"ALBAÑILERIA/ACABADOS"
"11746","METAL/MECÁNICA","MADRID","Unknown",2018-10-16,"COMPLETA","MADRID",29000,24000,"MECÁNICA/MANTENIMIENTO"
"11777","SALUD/DEPORTE","CASTILLA Y LEÓN","Licenciado o Ingeniero Superior",2018-10-16,"COMPLETA","LEÓN",31293,31293,"MEDICINA"
"11778","VIGILANCIA/SERVICIOS","COMUNIDAD VALENCIANA","ESO, EGB, Graduado Escolar",2018-10-16,"PARCIAL","VALENCIA",1200,150,"AUXILIARES DE SERVICIO/PERSONAL SUBALTER"
"11779","ADMINISTRACIÓN","REGIÓN DE MURCIA","Diplomado o Ingeniero Técnico",2018-10-16,"COMPLETA","MURCIA",17800,17000,"RECURSOS HUMANOS/PERSONAL"
"11790","AGRICULTURA/JARDINERÍA/ALIMENTACIÓN","GALICIA","FP II, Ciclo de Grado Superior",2018-06-27,"COMPLETA","CORUÑA (A)",1100,800,"FORESTAL/JARDINERÍA"
"11797","SALUD/DEPORTE","MADRID","FP II, Ciclo de Grado Superior",2018-10-16,"COMPLETA","MADRID",18000,18000,"DIETÉTICA Y NUTRICIÓN"
"11800","SALUD/DEPORTE","GALICIA","FP I, Ciclo de Grado Medio",2018-10-16,"COMPLETA","CORUÑA (A)",13000,12800,"ENFERMERÍA"
"11850","METAL/MECÁNICA","MADRID","FP II, Ciclo de Grado Superior",2018-10-16,"INDIFERENTE","MADRID",1300,1200,"MECÁNICA/MANTENIMIENTO"
"11860","FÁBRICAS/INDUSTRIA","NAVARRA","FP II, Ciclo de Grado Superior",2018-10-16,"COMPLETA","NAVARRA",30000,18000,"MONTADORES Y ENSAMBLADORES"
"11861","SALUD/DEPORTE","MADRID","Diplomado o Ingeniero Técnico",2018-10-16,"COMPLETA","MADRID",1500,1500,"ENFERMERÍA"
"11904","CONSTRUCCIÓN","MADRID","Unknown",2018-10-16,"COMPLETA","MADRID",1300,1100,"GRÚAS/EXCAVADORAS/MAQUINARIA"
"11906","INFORMÁTICA/TELECOMUNICACIONES","MADRID","Diplomado o Ingeniero Técnico",2018-10-16,"COMPLETA","MADRID",33000,27000,"ANALISTAS/PROGRAMADORES"
"11921","ADMINISTRACIÓN","MADRID","FP I, Ciclo de Grado Medio",2018-09-18,"COMPLETA","MADRID",17000,17000,"ADMINISTRATIVOS"
"11922","ELECTRICIDAD/ELECTRÓNICA/ENERGÍA","ANDALUCÍA","FP II, Ciclo de Grado Superior",2018-09-28,"COMPLETA","GRANADA",1500,800,"FRÍO Y CLIMATIZACIÓN"
"11925","INFORMÁTICA/TELECOMUNICACIONES","CATALUÑA","FP II, Ciclo de Grado Superior",2018-10-15,"COMPLETA","BARCELONA",22000,20000,"TELECOMUNICACIONES"
"11929","ADMINISTRACIÓN","GALICIA","Bachillerato",2018-10-15,"PARCIAL","CORUÑA (A)",650,590,"BANCA/SEGUROS"
"11930","CONDUCTORES/TRANSPORTE","ARAGÓN","Unknown",2018-10-15,"COMPLETA","HUESCA",25000,25000,"TRANSPORTE INTERNACIONAL/ESPECIAL"
"11931","COMERCIAL/VENTAS","CATALUÑA","ESO, EGB, Graduado Escolar",2018-10-15,"INDIFERENTE","BARCELONA",1200,600,"AGENTES COMERCIALES/REPRESENTANTES"
"11938","COMUNICACIÓN/CULTURA/ENTRETENIMIENTO","EXTREMADURA","Otras Formaciones",2018-10-15,"INDIFERENTE","BADAJOZ",1200,900,"COMUNICACIÓN/PUBLICIDAD/MARKETING"
"11946","FÁBRICAS/INDUSTRIA","COMUNIDAD VALENCIANA","Unknown",2018-10-15,"COMPLETA","VALENCIA",1500,1300,"MONTADORES Y ENSAMBLADORES"
"11957","APRENDICES/PRIMER EMPLEO","COMUNIDAD VALENCIANA","Estudios primarios",2018-10-15,"COMPLETA","VALENCIA",1200,1000,"PRIMER EMPLEO"
"11968","HOSTELERÍA/TURISMO","MADRID","Estudios primarios",2018-10-15,"PARCIAL","MADRID",900,600,"CAMAREROS"
"11995","INGENIERÍA/CALIDAD/CIENCIAS","CANTABRIA","FP I, Ciclo de Grado Medio",2018-10-15,"COMPLETA","CANTABRIA",14245,14245,"I+D"
"12015","HOSTELERÍA/TURISMO","MADRID","Estudios primarios",2018-10-15,"PARCIAL","MADRID",1000,600,"AYUDANTES DE COCINA/COMIDA RÁPIDA"
"12027","CONSTRUCCIÓN","COMUNIDAD VALENCIANA","Otras Formaciones",2018-10-15,"COMPLETA","VALENCIA",1200,900,"TECNICOS EN CONSTRUCCION"
"12051","SALUD/DEPORTE","CASTILLA Y LEÓN","Licenciado o Ingeniero Superior",2018-10-15,"COMPLETA","SORIA",42000,30000,"MEDICINA"
"12100","ADMINISTRACIÓN","ISLAS CANARIAS","FP I, Ciclo de Grado Medio",2018-10-15,"PARCIAL","SANTA CRUZ DE TENERIFE",700,500,"ADMINISTRATIVOS"
"12148","ELECTRICIDAD/ELECTRÓNICA/ENERGÍA","REGIÓN DE MURCIA","Unknown",2018-10-15,"COMPLETA","MURCIA",1200,900,"ELECTRICIDAD"
"12154","INGENIERÍA/CALIDAD/CIENCIAS","CANTABRIA","FP I, Ciclo de Grado Medio",2018-10-15,"COMPLETA","CANTABRIA",14245,14245,"I+D"
"12160","SALUD/DEPORTE","ANDALUCÍA","Estudios primarios",2018-10-15,"COMPLETA","MÁLAGA",1200,1000,"MEDICINA"
"12161","ELECTRICIDAD/ELECTRÓNICA/ENERGÍA","CATALUÑA","FP I, Ciclo de Grado Medio",2018-10-15,"COMPLETA","BARCELONA",1400,1300,"ELECTRICIDAD"
"12201","CONSTRUCCIÓN","MADRID","FP II, Ciclo de Grado Superior",2018-10-15,"INDIFERENTE","MADRID",1200,600,"FONTANERÍA"
"12206","AGRICULTURA/JARDINERÍA/ALIMENTACIÓN","MADRID","Otras Formaciones",2018-10-15,"COMPLETA","MADRID",980,980,"PANADERÍA/REPOSTERÍA"
"12207","CUIDADOS/ASISTENCIA EN EL HOGAR","ILLES BALEARS","Unknown",2018-10-15,"COMPLETA","BALEARS (ILLES)",1001,1000,"SERVICIO DOMÉSTICO"
"12210","ELECTRICIDAD/ELECTRÓNICA/ENERGÍA","ANDALUCÍA","FP II, Ciclo de Grado Superior",2018-09-28,"COMPLETA","GRANADA",1500,800,"FRÍO Y CLIMATIZACIÓN"
"12242","INFORMÁTICA/TELECOMUNICACIONES","CATALUÑA","FP II, Ciclo de Grado Superior",2018-10-15,"COMPLETA","BARCELONA",22000,20000,"TELECOMUNICACIONES"
"12278","CONDUCTORES/TRANSPORTE","COMUNIDAD VALENCIANA","Unknown",2018-10-15,"COMPLETA","VALENCIA",1200,1000,"TRANSPORTE DE PERSONAS O MERCANCIAS"
"12291","METAL/MECÁNICA","COMUNIDAD VALENCIANA","Unknown",2018-10-15,"COMPLETA","VALENCIA",15000,13000,"MECÁNICA/MANTENIMIENTO"
"12293","COMERCIAL/VENTAS","MADRID","FP I, Ciclo de Grado Medio",2018-10-15,"PARCIAL","MADRID",50000,18000,"VENDEDORES"
"12297","SALUD/DEPORTE","PRINCIPADO DE ASTURIAS","FP I, Ciclo de Grado Medio",2018-10-15,"PARCIAL","ASTURIAS",500,400,"ENFERMERÍA"
"12303","ADMINISTRACIÓN","ANDALUCÍA","FP II, Ciclo de Grado Superior",2018-10-15,"COMPLETA","SEVILLA",18000,14000,"ADMINISTRATIVOS"
"12315","HOSTELERÍA/TURISMO","MADRID","ESO, EGB, Graduado Escolar",2018-10-15,"COMPLETA","MADRID",18000,12000,"AYUDANTES DE COCINA/COMIDA RÁPIDA"
"12339","AGRICULTURA/JARDINERÍA/ALIMENTACIÓN","ISLAS CANARIAS","Unknown",2018-10-15,"COMPLETA","PALMAS (LAS)",24000,20000,"ACUICULTURA"
"12348","METAL/MECÁNICA","REGIÓN DE MURCIA","Unknown",2018-10-15,"COMPLETA","MURCIA",1200,900,"CERRAJEROS/FORJA/HERREROS"
"12366","METAL/MECÁNICA","MADRID","ESO, EGB, Graduado Escolar",2018-10-15,"COMPLETA","MADRID",18000,15000,"MECÁNICA/MANTENIMIENTO"
"12370","VIGILANCIA/SERVICIOS","MADRID","Unknown",2018-03-05,"COMPLETA","MADRID",1000,1000,"AUXILIARES DE SERVICIO/PERSONAL SUBALTER"
"12377","DEPENDIENTES/INFORMACIÓN","MADRID","ESO, EGB, Graduado Escolar",2018-10-17,"COMPLETA","MADRID",1500,1300,"DEPENDIENTES"
"12408","METAL/MECÁNICA","CASTILLA Y LEÓN","FP I, Ciclo de Grado Medio",2018-10-15,"COMPLETA","BURGOS",1300,1000,"SOLDADURA/CALDERERÍA/CHAPA"
"12434","INFORMÁTICA/TELECOMUNICACIONES","CANTABRIA","FP II, Ciclo de Grado Superior",2018-10-15,"COMPLETA","CANTABRIA",10500,8500,"MICROINFORMATICA/ASISTENCIA TÉCNICA"
"12460","COMERCIAL/VENTAS","COMUNIDAD VALENCIANA","Unknown",2018-10-15,"COMPLETA","ALICANTE",1200,800,"AGENTES COMERCIALES/REPRESENTANTES"
"12462","ELECTRICIDAD/ELECTRÓNICA/ENERGÍA","COMUNIDAD VALENCIANA","FP I, Ciclo de Grado Medio",2018-10-15,"COMPLETA","VALENCIA",15000,13000,"ELECTRICIDAD"
"12479","ELECTRICIDAD/ELECTRÓNICA/ENERGÍA","ISLAS CANARIAS","FP I, Ciclo de Grado Medio",2018-10-15,"COMPLETA","PALMAS (LAS)",15000,12000,"ELECTRICIDAD"
"12581","PELUQUERÍA/ESTÉTICA","PAÍS VASCO","ESO, EGB, Graduado Escolar",2018-10-12,"COMPLETA","ÁLAVA",1250,950,"PELUQUERÍA"
"12583","CONDUCTORES/TRANSPORTE","CATALUÑA","FP II, Ciclo de Grado Superior",2018-10-13,"COMPLETA","BARCELONA",1500,1200,"MECÁNICA DEL AUTOMÓVIL"
"12596","COMERCIAL/VENTAS","Unknown","Unknown",2018-10-12,"INDIFERENTE","Unknown",4000,1500,"AGENTES COMERCIALES/REPRESENTANTES"
"12597","ADMINISTRACIÓN","GALICIA","Licenciado o Ingeniero Superior",2018-10-12,"INDIFERENTE","PONTEVEDRA",1300,750,"CONTABILIDAD/FINANZAS"
"12599","DEPENDIENTES/INFORMACIÓN","CATALUÑA","ESO, EGB, Graduado Escolar",2018-10-13,"COMPLETA","BARCELONA",785,524,"DEPENDIENTES"
"12619","INFORMÁTICA/TELECOMUNICACIONES","CATALUÑA","ESO, EGB, Graduado Escolar",2018-10-11,"PARCIAL","BARCELONA",877,877,"TELECOMUNICACIONES"
"12641","INFORMÁTICA/TELECOMUNICACIONES","CATALUÑA","Licenciado o Ingeniero Superior",2018-10-11,"COMPLETA","BARCELONA",1400,1200,"MICROINFORMATICA/ASISTENCIA TÉCNICA"
"12655","CONDUCTORES/TRANSPORTE","PRINCIPADO DE ASTURIAS","Certificados de Profesionalidad",2018-10-11,"INDIFERENTE","ASTURIAS",2000,1,"TRANSPORTE DE PERSONAS O MERCANCIAS"
"12656","INFORMÁTICA/TELECOMUNICACIONES","CATALUÑA","FP II, Ciclo de Grado Superior",2018-10-11,"COMPLETA","BARCELONA",24000,24000,"ANALISTAS/PROGRAMADORES"
"12677","COMUNICACIÓN/CULTURA/ENTRETENIMIENTO","CATALUÑA","Diplomado o Ingeniero Técnico",2018-10-13,"COMPLETA","BARCELONA",1054,1054,"ARTE/CULTURA/ESPECTÁCULOS"
"12682","INFORMÁTICA/TELECOMUNICACIONES","CATALUÑA","Unknown",2018-10-13,"COMPLETA","BARCELONA",1500,1300,"ANALISTAS/PROGRAMADORES"
"12694","AGRICULTURA/JARDINERÍA/ALIMENTACIÓN","ANDALUCÍA","ESO, EGB, Graduado Escolar",2018-10-11,"COMPLETA","SEVILLA",1200,700,"CARNICERÍA/CHARCUTERIA"
"12738","ELECTRICIDAD/ELECTRÓNICA/ENERGÍA","MADRID","Unknown",2018-10-13,"COMPLETA","MADRID",1191,1190,"ELECTRICIDAD"
"12783","ADMINISTRACIÓN","MADRID","FP I, Ciclo de Grado Medio",2018-10-11,"COMPLETA","MADRID",17000,14000,"RECURSOS HUMANOS/PERSONAL"
"12784","CONSTRUCCIÓN","PRINCIPADO DE ASTURIAS","ESO, EGB, Graduado Escolar",2018-09-13,"COMPLETA","ASTURIAS",1700,1300,"ENCARGADOS DE OBRAS/CAPATACES"
"12811","CONDUCTORES/TRANSPORTE","EXTREMADURA","Unknown",2018-10-11,"COMPLETA","BADAJOZ",900,800,"REPARTO DE MERCANCÍAS"
"12814","METAL/MECÁNICA","CATALUÑA","Unknown",2018-10-13,"INDIFERENTE","BARCELONA",700,700,"SOLDADURA/CALDERERÍA/CHAPA"
"12818","CONDUCTORES/TRANSPORTE","EXTREMADURA","Unknown",2018-10-11,"COMPLETA","BADAJOZ",900,800,"REPARTO DE MERCANCÍAS"
"12822","ELECTRICIDAD/ELECTRÓNICA/ENERGÍA","REGIÓN DE MURCIA","FP I, Ciclo de Grado Medio",2018-10-11,"COMPLETA","MURCIA",1300,1000,"ELECTRICIDAD"
"12844","ADMINISTRACIÓN","GALICIA","FP I, Ciclo de Grado Medio",2018-10-11,"COMPLETA","CORUÑA (A)",15000,10000,"RECURSOS HUMANOS/PERSONAL"
"12851","ADMINISTRACIÓN","MADRID","Otras Formaciones",2018-10-11,"COMPLETA","MADRID",12500,12400,"ADMINISTRATIVOS"
"12852","INFORMÁTICA/TELECOMUNICACIONES","CATALUÑA","Licenciado o Ingeniero Superior",2018-10-11,"COMPLETA","BARCELONA",1400,1200,"MICROINFORMATICA/ASISTENCIA TÉCNICA"
"12855","FÁBRICAS/INDUSTRIA","ISLAS CANARIAS","Estudios primarios",2018-10-11,"COMPLETA","PALMAS (LAS)",1500,1200,"FUNDICIÓN/SIDERURGÍA"
"12873","METAL/MECÁNICA","CATALUÑA","Estudios primarios",2018-10-13,"COMPLETA","TARRAGONA",2000,1400,"MECÁNICA/MANTENIMIENTO"
