"","Categoria","Comunidad","Educacion","FechaCreacion","TipoJornada","Provincia","SalarioMax","SalarioMin","SubCategoria"
"942","INGENIERÍA/CALIDAD/CIENCIAS","CASTILLA Y LEÓN","Licenciado o Ingeniero Superior",2018-10-31,"COMPLETA","LEÓN",1300,1300,"INGENIERÍAS"
"943","INFORMÁTICA/TELECOMUNICACIONES","ISLAS CANARIAS","Licenciado o Ingeniero Superior",2018-10-31,"COMPLETA","SANTA CRUZ DE TENERIFE",15000,13000,"TELECOMUNICACIONES"
"944","ELECTRICIDAD/ELECTRÓNICA/ENERGÍA","ANDALUCÍA","FP I, Ciclo de Grado Medio",2018-10-31,"COMPLETA","SEVILLA",1500,1500,"ELECTRICIDAD"
"945","COMERCIAL/VENTAS","CASTILLA Y LEÓN","Bachillerato",2018-10-31,"PARCIAL","SALAMANCA",7,7,"VENDEDORES"
"946","COMUNICACIÓN/CULTURA/ENTRETENIMIENTO","ANDALUCÍA","Licenciado o Ingeniero Superior",2018-10-31,"COMPLETA","MÁLAGA",1200,900,"PERIODISMO E INFORMACIÓN"
"947","FÁBRICAS/INDUSTRIA","GALICIA","Sin estudios",2018-10-31,"COMPLETA","PONTEVEDRA",1500,1200,"PEONES/OPERARIOS/MANIPULADORES"
"948","ADMINISTRACIÓN","ARAGÓN","Unknown",2018-10-31,"PARCIAL","ZARAGOZA",520,520,"ADMINISTRATIVOS"
"949","ELECTRICIDAD/ELECTRÓNICA/ENERGÍA","ISLAS CANARIAS","FP I, Ciclo de Grado Medio",2018-10-31,"COMPLETA","PALMAS (LAS)",16000,14000,"ELECTRICIDAD"
"950","SALUD/DEPORTE","ISLAS CANARIAS","Licenciado o Ingeniero Superior",2018-03-22,"PARCIAL","PALMAS (LAS)",1000,1000,"MEDICINA"
"952","INGENIERÍA/CALIDAD/CIENCIAS","CASTILLA Y LEÓN","Licenciado o Ingeniero Superior",2018-10-31,"COMPLETA","LEÓN",1300,1300,"INGENIERÍAS"
"953","INFORMÁTICA/TELECOMUNICACIONES","ISLAS CANARIAS","Licenciado o Ingeniero Superior",2018-10-31,"COMPLETA","SANTA CRUZ DE TENERIFE",15000,13000,"TELECOMUNICACIONES"
"954","ELECTRICIDAD/ELECTRÓNICA/ENERGÍA","ANDALUCÍA","FP I, Ciclo de Grado Medio",2018-10-31,"COMPLETA","SEVILLA",1500,1500,"ELECTRICIDAD"
"955","COMERCIAL/VENTAS","CASTILLA Y LEÓN","Bachillerato",2018-10-31,"PARCIAL","SALAMANCA",7,7,"VENDEDORES"
"956","COMUNICACIÓN/CULTURA/ENTRETENIMIENTO","ANDALUCÍA","Licenciado o Ingeniero Superior",2018-10-31,"COMPLETA","MÁLAGA",1200,900,"PERIODISMO E INFORMACIÓN"
"957","FÁBRICAS/INDUSTRIA","GALICIA","Sin estudios",2018-10-31,"COMPLETA","PONTEVEDRA",1500,1200,"PEONES/OPERARIOS/MANIPULADORES"
"958","ADMINISTRACIÓN","ARAGÓN","Unknown",2018-10-31,"PARCIAL","ZARAGOZA",520,520,"ADMINISTRATIVOS"
"959","ELECTRICIDAD/ELECTRÓNICA/ENERGÍA","ISLAS CANARIAS","FP I, Ciclo de Grado Medio",2018-10-31,"COMPLETA","PALMAS (LAS)",16000,14000,"ELECTRICIDAD"
"960","SALUD/DEPORTE","ISLAS CANARIAS","Licenciado o Ingeniero Superior",2018-03-22,"PARCIAL","PALMAS (LAS)",1000,1000,"MEDICINA"
"962","INGENIERÍA/CALIDAD/CIENCIAS","CASTILLA Y LEÓN","Licenciado o Ingeniero Superior",2018-10-31,"COMPLETA","LEÓN",1300,1300,"INGENIERÍAS"
"963","INFORMÁTICA/TELECOMUNICACIONES","ISLAS CANARIAS","Licenciado o Ingeniero Superior",2018-10-31,"COMPLETA","SANTA CRUZ DE TENERIFE",15000,13000,"TELECOMUNICACIONES"
"964","ELECTRICIDAD/ELECTRÓNICA/ENERGÍA","ANDALUCÍA","FP I, Ciclo de Grado Medio",2018-10-31,"COMPLETA","SEVILLA",1500,1500,"ELECTRICIDAD"
